=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.02 18:19:46 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Up threshold:   f_up_thr = 291
Down threshold:   f_down_thr = 431
Trial 1 started
time, up, down, lbl_up, lbl_down
0.0000, 356, 534, 0, 0
0.0100, 357, 534, 0, 0
0.0350, 357, 534, 0, 0
0.0600, 357, 533, 0, 0
0.0850, 357, 534, 0, 0
0.1100, 356, 534, 0, 0
0.1350, 358, 535, 0, 0
0.1590, 355, 534, 0, 0
0.1850, 357, 534, 0, 0
0.2090, 358, 534, 0, 0
0.2350, 359, 534, 0, 0
0.2600, 357, 533, 0, 0
0.2840, 357, 533, 0, 0
0.3100, 358, 534, 0, 0
0.3340, 358, 534, 0, 0
0.3590, 359, 534, 0, 0
0.3850, 359, 534, 0, 0
0.4090, 357, 532, 0, 0
0.4350, 359, 534, 0, 0
0.4590, 358, 534, 0, 0
0.4840, 357, 533, 0, 0
0.5090, 358, 535, 0, 0
0.5340, 359, 534, 0, 0
0.5590, 357, 532, 0, 0
0.5840, 360, 534, 0, 0
0.6090, 358, 533, 0, 0
0.6340, 357, 531, 0, 0
0.6590, 359, 533, 0, 0
0.6840, 358, 533, 0, 0
0.7090, 358, 530, 0, 0
0.7340, 361, 532, 0, 0
0.7580, 359, 530, 0, 0
0.7840, 363, 530, 0, 0
0.8090, 361, 532, 0, 0
0.8340, 359, 531, 0, 0
0.8590, 361, 533, 0, 0
0.8830, 361, 533, 0, 0
0.9090, 361, 530, 0, 0
0.9330, 362, 531, 0, 0
0.9580, 358, 528, 0, 0
0.9840, 361, 530, 0, 0
1.0080, 359, 530, 0, 0
1.0340, 362, 530, 0, 0
1.0580, 360, 531, 0, 0
1.0830, 359, 530, 0, 0
1.1090, 358, 528, 0, 0
1.1330, 358, 530, 0, 0
1.1580, 356, 530, 0, 0
1.1830, 359, 529, 0, 0
1.2080, 355, 530, 0, 0
1.2330, 359, 529, 0, 0
1.2580, 351, 530, 0, 0
1.2830, 356, 530, 0, 0
1.3080, 354, 532, 0, 0
1.3330, 353, 531, 0, 0
1.3570, 353, 532, 0, 0
1.3830, 353, 532, 0, 0
1.4080, 354, 532, 0, 0
1.4330, 352, 533, 0, 0
1.4580, 349, 535, 0, 0
1.4820, 348, 536, 0, 0
1.5080, 347, 539, 0, 0
1.5320, 348, 538, 0, 0
1.5570, 348, 540, 0, 0
1.5830, 348, 540, 0, 0
1.6070, 345, 540, 0, 0
1.6330, 343, 541, 0, 0
1.6570, 341, 543, 0, 0
1.6820, 340, 544, 0, 0
1.7080, 341, 545, 0, 0
1.7320, 341, 545, 0, 0
1.7570, 342, 545, 0, 0
1.7820, 339, 546, 0, 0
1.8070, 338, 548, 0, 0
1.8330, 340, 547, 0, 0
1.8570, 341, 548, 0, 0
1.8820, 342, 547, 0, 0
1.9070, 345, 547, 0, 0
1.9320, 347, 547, 0, 0
1.9560, 348, 546, 0, 0
1.9820, 347, 547, 0, 0
2.0070, 348, 547, 0, 0
2.0320, 348, 548, 0, 0
2.0570, 349, 547, 0, 0
2.0810, 349, 545, 0, 0
2.1070, 349, 546, 0, 0
2.1320, 350, 546, 0, 0
2.1560, 350, 547, 0, 0
2.1820, 348, 547, 0, 0
2.2060, 349, 546, 0, 0
2.2320, 350, 545, 0, 0
2.2560, 351, 547, 0, 0
2.2810, 349, 546, 0, 0
2.3070, 350, 546, 0, 0
2.3310, 351, 545, 0, 0
2.3560, 351, 544, 0, 0
2.3810, 350, 543, 0, 0
2.4060, 351, 545, 0, 0
2.4320, 351, 544, 0, 0
2.4560, 351, 544, 0, 0
2.4810, 351, 542, 0, 0
2.5060, 353, 542, 0, 0
2.5310, 352, 540, 0, 0
2.5550, 353, 541, 0, 0
2.5810, 354, 538, 0, 0
2.6060, 356, 535, 0, 0
2.6310, 357, 530, 0, 0
2.6560, 358, 530, 0, 0
2.6800, 359, 531, 0, 0
2.7060, 359, 530, 0, 0
2.7310, 360, 528, 0, 0
2.7550, 361, 527, 0, 0
2.7810, 358, 520, 0, 0
2.8050, 362, 521, 0, 0
2.8310, 360, 520, 0, 0
2.8550, 362, 520, 0, 0
2.8800, 361, 522, 0, 0
2.9060, 359, 520, 0, 0
2.9300, 362, 518, 0, 0
2.9550, 363, 518, 0, 0
2.9800, 359, 516, 0, 0
3.0050, 362, 518, 0, 0
3.0310, 360, 517, 0, 0
3.0550, 361, 517, 0, 0
3.0800, 362, 516, 0, 0
3.1050, 360, 514, 0, 0
3.1300, 362, 513, 0, 0
3.1540, 361, 513, 0, 0
3.1800, 361, 512, 0, 0
3.2050, 363, 513, 0, 0
3.2300, 362, 514, 0, 0
3.2550, 361, 513, 0, 0
3.2790, 362, 514, 0, 0
3.3050, 363, 514, 0, 0
3.3300, 363, 512, 0, 0
3.3540, 363, 513, 0, 0
3.3800, 363, 512, 0, 0
3.4040, 365, 511, 0, 0
3.4300, 364, 511, 0, 0
3.4550, 365, 508, 0, 0
3.4790, 364, 509, 0, 0
3.5050, 365, 513, 0, 0
3.5290, 364, 512, 0, 0
3.5540, 365, 515, 0, 0
3.5790, 364, 514, 0, 0
3.6040, 365, 513, 0, 0
3.6300, 365, 513, 0, 0
3.6540, 364, 513, 0, 0
3.6790, 364, 514, 0, 0
3.7040, 365, 514, 0, 0
3.7290, 364, 514, 0, 0
3.7540, 365, 516, 0, 0
3.7790, 364, 515, 0, 0
3.8040, 364, 515, 0, 0
3.8290, 363, 515, 0, 0
3.8540, 365, 516, 0, 0
3.8780, 363, 516, 0, 0
3.9040, 364, 517, 0, 0
3.9290, 363, 516, 0, 0
3.9530, 363, 517, 0, 0
3.9790, 363, 517, 0, 0
4.0030, 363, 518, 0, 0
4.0290, 362, 517, 0, 0
4.0540, 361, 519, 0, 0
4.0780, 360, 518, 0, 0
4.1040, 361, 520, 0, 0
4.1280, 358, 519, 0, 0
4.1530, 357, 520, 0, 0
4.1780, 355, 520, 0, 0
4.2030, 353, 521, 0, 0
4.2290, 352, 521, 0, 0
4.2530, 350, 522, 0, 0
4.2780, 349, 522, 0, 0
4.3030, 350, 523, 0, 0
4.3280, 349, 522, 0, 0
4.3530, 348, 522, 0, 0
4.3780, 348, 523, 0, 0
4.4030, 349, 524, 0, 0
4.4280, 348, 524, 0, 0
4.4530, 349, 525, 0, 0
4.4770, 348, 526, 0, 0
4.5030, 349, 527, 0, 0
4.5280, 348, 528, 0, 0
4.5520, 347, 529, 0, 0
4.5780, 345, 531, 0, 0
4.6020, 343, 534, 0, 0
4.6280, 341, 537, 0, 0
4.6530, 340, 539, 0, 0
4.6770, 341, 539, 0, 0
4.7030, 342, 540, 0, 0
4.7270, 342, 540, 0, 0
4.7520, 342, 541, 0, 0
4.7780, 341, 541, 0, 0
4.8020, 341, 542, 0, 0
4.8280, 340, 542, 0, 0
4.8520, 342, 542, 0, 0
4.8770, 341, 542, 0, 0
4.9020, 340, 543, 0, 0
4.9270, 338, 543, 0, 0
4.9520, 337, 544, 0, 0
4.9770, 337, 544, 0, 0
5.0020, 339, 544, 0, 0
5.0270, 339, 544, 0, 0
5.0520, 341, 544, 0, 0
5.0770, 342, 544, 0, 0
5.1020, 343, 544, 0, 0
5.1270, 344, 543, 0, 0
5.1510, 345, 544, 0, 0
5.1770, 345, 543, 0, 0
5.2010, 345, 543, 0, 0
5.2270, 345, 543, 0, 0
5.2520, 346, 543, 0, 0
5.2760, 346, 543, 0, 0
5.3020, 346, 544, 0, 0
5.3260, 345, 544, 0, 0
5.3510, 344, 545, 0, 0
5.3770, 343, 545, 0, 0
5.4010, 344, 545, 0, 0
5.4270, 343, 545, 0, 0
5.4510, 344, 545, 0, 0
5.4760, 343, 545, 0, 0
5.5010, 343, 546, 0, 0
5.5260, 345, 545, 0, 0
5.5510, 346, 544, 0, 0
5.5760, 347, 542, 0, 0
5.6010, 349, 541, 0, 0
5.6260, 349, 541, 0, 0
5.6510, 349, 540, 0, 0
5.6760, 349, 541, 0, 0
5.7010, 350, 541, 0, 0
5.7260, 350, 541, 0, 0
5.7500, 351, 541, 0, 0
5.7760, 350, 539, 0, 0
5.8010, 351, 539, 0, 0
5.8260, 351, 538, 0, 0
5.8510, 352, 538, 0, 0
5.8750, 352, 537, 0, 0
5.9010, 352, 536, 0, 0
5.9250, 353, 537, 0, 0
5.9500, 352, 537, 0, 0
5.9760, 352, 536, 0, 0
6.0000, 353, 537, 0, 0
6.0260, 352, 535, 0, 0
6.0500, 352, 535, 0, 0
6.0750, 352, 534, 0, 0
6.1010, 352, 534, 0, 0
6.1250, 353, 534, 0, 0
6.1500, 353, 535, 0, 0
6.1750, 352, 535, 0, 0
6.2000, 352, 536, 0, 0
6.2250, 352, 535, 0, 0
6.2500, 353, 535, 0, 0
6.2750, 352, 533, 0, 0
6.3000, 353, 531, 0, 0
6.3250, 354, 531, 0, 0
6.3490, 353, 532, 0, 0
6.3750, 353, 530, 0, 0
6.4000, 355, 530, 0, 0
6.4250, 354, 528, 0, 0
6.4500, 354, 527, 0, 0
6.4740, 355, 529, 0, 0
6.5000, 355, 531, 0, 0
6.5240, 354, 530, 0, 0
6.5490, 354, 532, 0, 0
6.5750, 354, 532, 0, 0
6.5990, 355, 533, 0, 0
6.6250, 353, 534, 0, 0
6.6490, 352, 533, 0, 0
6.6740, 353, 534, 0, 0
6.7000, 352, 534, 0, 0
6.7240, 353, 533, 0, 0
6.7490, 353, 534, 0, 0
6.7740, 352, 533, 0, 0
6.7990, 352, 534, 0, 0
6.8250, 351, 534, 0, 0
6.8490, 352, 535, 0, 0
6.8740, 350, 534, 0, 0
6.8990, 351, 534, 0, 0
6.9240, 351, 535, 0, 0
6.9480, 349, 535, 0, 0
6.9740, 347, 535, 0, 0
6.9990, 348, 535, 0, 0
7.0240, 348, 535, 0, 0
7.0490, 347, 535, 0, 0
7.0730, 346, 536, 0, 0
7.0990, 345, 536, 0, 0
7.1240, 344, 535, 0, 0
7.1480, 345, 537, 0, 0
7.1740, 344, 537, 0, 0
7.1980, 343, 536, 0, 0
7.2240, 344, 537, 0, 0
7.2480, 342, 538, 0, 0
7.2730, 343, 538, 0, 0
7.2990, 345, 538, 0, 0
7.3230, 343, 538, 0, 0
7.3480, 346, 539, 0, 0
7.3730, 348, 539, 0, 0
7.3980, 350, 537, 0, 0
7.4240, 352, 537, 0, 0
7.4480, 351, 536, 0, 0
7.4730, 352, 535, 0, 0
7.4980, 354, 534, 0, 0
7.5230, 355, 535, 0, 0
7.5470, 355, 535, 0, 0
7.5730, 356, 535, 0, 0
7.5980, 355, 535, 0, 0
7.6230, 355, 535, 0, 0
7.6480, 357, 534, 0, 0
7.6720, 357, 534, 0, 0
7.6980, 358, 532, 0, 0
7.7230, 361, 528, 0, 0
7.7470, 363, 522, 0, 0
7.7730, 364, 520, 0, 0
7.7970, 364, 520, 0, 0
7.8230, 364, 521, 0, 0
7.8470, 366, 522, 0, 0
7.8720, 365, 521, 0, 0
7.8980, 367, 519, 0, 0
7.9220, 367, 516, 0, 0
7.9470, 369, 515, 0, 0
7.9720, 368, 514, 0, 0
7.9970, 368, 517, 0, 0
8.0230, 368, 519, 0, 0
8.0470, 368, 519, 0, 0
8.0720, 368, 522, 0, 0
8.0970, 365, 525, 0, 0
8.1220, 364, 527, 0, 0
8.1460, 363, 529, 0, 0
8.1720, 364, 528, 0, 0
8.1970, 362, 529, 0, 0
8.2220, 361, 531, 0, 0
8.2470, 361, 531, 0, 0
8.2710, 360, 532, 0, 0
8.2970, 359, 533, 0, 0
8.3220, 359, 535, 0, 0
8.3460, 357, 535, 0, 0
8.3720, 358, 536, 0, 0
8.3960, 357, 537, 0, 0
8.4220, 359, 537, 0, 0
8.4470, 358, 537, 0, 0
8.4710, 356, 538, 0, 0
8.4970, 355, 538, 0, 0
8.5210, 354, 539, 0, 0
8.5460, 354, 540, 0, 0
8.5710, 354, 540, 0, 0
8.5960, 353, 540, 0, 0
8.6220, 354, 540, 0, 0
8.6460, 354, 540, 0, 0
8.6710, 354, 539, 0, 0
8.6960, 354, 539, 0, 0
8.7210, 354, 541, 0, 0
8.7460, 352, 541, 0, 0
8.7710, 352, 541, 0, 0
8.7960, 353, 540, 0, 0
8.8210, 353, 540, 0, 0
8.8460, 353, 540, 0, 0
8.8700, 352, 541, 0, 0
8.8960, 350, 541, 0, 0
8.9210, 350, 541, 0, 0
8.9450, 350, 540, 0, 0
8.9710, 351, 540, 0, 0
8.9950, 351, 540, 0, 0
9.0210, 351, 541, 0, 0
9.0460, 349, 540, 0, 0
9.0700, 349, 541, 0, 0
9.0960, 349, 541, 0, 0
9.1200, 349, 541, 0, 0
9.1450, 349, 540, 0, 0
9.1700, 350, 541, 0, 0
9.1950, 349, 540, 0, 0
9.2210, 349, 541, 0, 0
9.2450, 349, 540, 0, 0
9.2700, 348, 541, 0, 0
9.2950, 347, 541, 0, 0
9.3200, 346, 542, 0, 0
9.3450, 345, 542, 0, 0
9.3700, 344, 542, 0, 0
9.3950, 344, 542, 0, 0
9.4200, 342, 544, 0, 0
9.4450, 340, 544, 0, 0
9.4690, 341, 545, 0, 0
9.4950, 340, 544, 0, 0
9.5200, 342, 544, 0, 0
9.5440, 342, 545, 0, 0
9.5700, 342, 546, 0, 0
9.5940, 342, 544, 0, 0
9.6200, 343, 544, 0, 0
9.6450, 343, 544, 0, 0
9.6690, 342, 543, 0, 0
9.6950, 345, 544, 0, 0
9.7190, 344, 544, 0, 0
9.7440, 343, 542, 0, 0
9.7700, 346, 544, 0, 0
9.7940, 345, 542, 0, 0
9.8200, 345, 541, 0, 0
9.8440, 346, 543, 0, 0
9.8690, 344, 543, 0, 0
9.8940, 343, 543, 0, 0
9.9190, 342, 545, 0, 0
9.9440, 337, 544, 0, 0
9.9690, 338, 547, 0, 0
9.9940, 337, 547, 0, 0
10.0190, 339, 548, 0, 0
10.0450, 341, 548, 0, 0
10.0710, 343, 549, 0, 0
10.0970, 344, 548, 0, 0
10.1230, 344, 549, 0, 0
10.1490, 344, 550, 0, 0
10.1750, 342, 550, 0, 0
10.2010, 343, 551, 0, 0
10.2270, 343, 551, 0, 0
10.2530, 343, 552, 0, 0
10.2780, 342, 552, 0, 0
10.3050, 342, 553, 0, 0
10.3310, 342, 552, 0, 0
10.3570, 338, 554, 0, 0
10.3830, 335, 556, 0, 0
10.4090, 334, 557, 0, 0
10.4350, 336, 558, 0, 0
10.4610, 337, 557, 0, 0
10.4870, 337, 558, 0, 0
10.5130, 336, 558, 0, 0
10.5390, 335, 559, 0, 0
10.5650, 336, 559, 0, 0
10.5910, 337, 558, 0, 0
10.6170, 340, 558, 0, 0
10.6430, 340, 558, 0, 0
10.6690, 341, 558, 0, 0
10.6950, 342, 558, 0, 0
10.7210, 341, 558, 0, 0
10.7460, 342, 557, 0, 0
10.7730, 341, 557, 0, 0
10.7990, 342, 557, 0, 0
10.8250, 342, 557, 0, 0
10.8510, 343, 558, 0, 0
10.8760, 341, 557, 0, 0
10.9030, 342, 557, 0, 0
10.9290, 342, 555, 0, 0
10.9550, 344, 552, 0, 0
10.9810, 346, 547, 0, 0
11.0070, 347, 546, 0, 0
11.0330, 348, 549, 0, 0
11.0590, 347, 551, 0, 0
11.0850, 347, 552, 0, 0
11.1110, 348, 553, 0, 0
11.1370, 350, 552, 0, 0
11.1630, 350, 548, 0, 0
11.1890, 349, 548, 0, 0
11.2150, 350, 547, 0, 0
11.2410, 351, 545, 0, 0
11.2670, 352, 544, 0, 0
11.2930, 352, 539, 0, 0
11.3190, 354, 535, 0, 0
11.3440, 353, 534, 0, 0
11.3710, 353, 534, 0, 0
11.3970, 354, 533, 0, 0
11.4230, 353, 532, 0, 0
11.4490, 353, 528, 0, 0
11.4740, 353, 524, 0, 0
11.5010, 354, 524, 0, 0
11.5270, 353, 520, 0, 0
11.5530, 353, 519, 0, 0
11.5790, 353, 518, 0, 0
11.6050, 354, 517, 0, 0
11.6310, 354, 517, 0, 0
11.6570, 353, 518, 0, 0
11.6830, 355, 518, 0, 0
11.7090, 355, 517, 0, 0
11.7350, 356, 516, 0, 0
11.7610, 355, 515, 0, 0
11.7870, 356, 515, 0, 0
11.8130, 356, 516, 0, 0
11.8390, 355, 514, 0, 0
11.8650, 357, 514, 0, 0
11.8910, 356, 513, 0, 0
11.9170, 357, 513, 0, 0
11.9420, 357, 514, 0, 0
11.9690, 358, 516, 0, 0
11.9950, 358, 516, 0, 0
12.0210, 358, 517, 0, 0
12.0470, 359, 515, 0, 0
12.0730, 358, 514, 0, 0
12.0990, 358, 515, 0, 0
12.1250, 358, 516, 0, 0
12.1510, 358, 518, 0, 0
12.1770, 358, 518, 0, 0
12.2030, 359, 519, 0, 0
12.2290, 359, 520, 0, 0
12.2550, 359, 520, 0, 0
12.2810, 359, 520, 0, 0
12.3070, 358, 521, 0, 0
12.3330, 359, 522, 0, 0
12.3590, 358, 521, 0, 0
12.3850, 358, 521, 0, 0
12.4100, 359, 520, 0, 0
12.4370, 360, 521, 0, 0
12.4630, 359, 521, 0, 0
12.4890, 359, 522, 0, 0
12.5150, 359, 522, 0, 0
12.5400, 359, 521, 0, 0
12.5670, 359, 520, 0, 0
12.5930, 361, 518, 0, 0
12.6190, 361, 516, 0, 0
12.6450, 361, 517, 0, 0
12.6710, 361, 518, 0, 0
12.6970, 361, 520, 0, 0
12.7230, 361, 521, 0, 0
12.7490, 361, 521, 0, 0
12.7750, 361, 520, 0, 0
12.8010, 361, 519, 0, 0
12.8270, 363, 519, 0, 0
12.8530, 362, 521, 0, 0
12.8790, 363, 521, 0, 0
12.9050, 362, 521, 0, 0
12.9310, 362, 522, 0, 0
12.9570, 362, 522, 0, 0
12.9830, 363, 523, 0, 0
13.0080, 362, 522, 0, 0
13.0350, 362, 523, 0, 0
13.0610, 361, 523, 0, 0
13.0870, 361, 523, 0, 0
13.1130, 361, 523, 0, 0
13.1380, 361, 524, 0, 0
13.1650, 362, 523, 0, 0
13.1910, 362, 520, 0, 0
13.2170, 363, 519, 0, 0
13.2430, 365, 517, 0, 0
13.2690, 365, 515, 0, 0
13.2950, 366, 514, 0, 0
13.3210, 365, 510, 0, 0
13.3470, 367, 509, 0, 0
13.3730, 367, 508, 0, 0
13.3990, 367, 509, 0, 0
13.4250, 367, 510, 0, 0
13.4510, 368, 511, 0, 0
13.4770, 367, 512, 0, 0
13.5030, 367, 512, 0, 0
13.5290, 367, 512, 0, 0
13.5550, 366, 513, 0, 0
13.5810, 367, 515, 0, 0
13.6060, 365, 516, 0, 0
13.6330, 365, 517, 0, 0
13.6590, 364, 518, 0, 0
13.6850, 365, 518, 0, 0
13.7110, 364, 520, 0, 0
13.7370, 361, 522, 0, 0
13.7630, 360, 522, 0, 0
13.7890, 361, 522, 0, 0
13.8150, 362, 523, 0, 0
13.8410, 361, 522, 0, 0
13.8670, 362, 523, 0, 0
13.8930, 360, 524, 0, 0
13.9190, 361, 524, 0, 0
13.9450, 360, 524, 0, 0
13.9710, 361, 524, 0, 0
13.9970, 361, 525, 0, 0
14.0230, 360, 524, 0, 0
14.0490, 361, 526, 0, 0
14.0740, 360, 525, 0, 0
14.1010, 361, 526, 0, 0
14.1270, 360, 526, 0, 0
14.1530, 359, 526, 0, 0
14.1790, 359, 526, 0, 0
14.2040, 356, 525, 0, 0
14.2310, 354, 525, 0, 0
14.2570, 352, 525, 0, 0
14.2830, 352, 525, 0, 0
14.3090, 349, 526, 0, 0
14.3350, 350, 525, 0, 0
14.3610, 350, 526, 0, 0
14.3870, 350, 526, 0, 0
14.4130, 349, 526, 0, 0
14.4390, 348, 526, 0, 0
14.4650, 346, 527, 0, 0
14.4910, 345, 528, 0, 0
14.5170, 345, 528, 0, 0
14.5430, 346, 530, 0, 0
14.5690, 344, 529, 0, 0
14.5950, 344, 529, 0, 0
14.6210, 342, 529, 0, 0
14.6470, 342, 530, 0, 0
14.6720, 340, 531, 0, 0
14.6990, 341, 532, 0, 0
14.7250, 341, 531, 0, 0
14.7510, 342, 531, 0, 0
14.7770, 342, 532, 0, 0
14.8020, 342, 533, 0, 0
14.8290, 341, 533, 0, 0
14.8550, 341, 533, 0, 0
14.8810, 341, 533, 0, 0
14.9070, 342, 534, 0, 0
14.9330, 343, 534, 0, 0
14.9590, 342, 534, 0, 0
14.9850, 342, 534, 0, 0
15.0110, 342, 534, 0, 0
15.0370, 340, 533, 0, 0
15.0630, 343, 534, 0, 0
15.0890, 343, 533, 0, 0
15.1150, 344, 533, 0, 0
15.1410, 345, 532, 0, 0
15.1670, 346, 532, 0, 0
15.1930, 347, 531, 0, 0
15.2190, 347, 529, 0, 0
15.2450, 349, 528, 0, 0
15.2700, 350, 526, 0, 0
15.2970, 352, 524, 0, 0
15.3230, 352, 520, 0, 0
15.3490, 353, 520, 0, 0
15.3750, 353, 519, 0, 0
15.4010, 355, 520, 0, 0
15.4270, 354, 522, 0, 0
15.4530, 354, 524, 0, 0
15.4790, 354, 525, 0, 0
15.5050, 355, 525, 0, 0
15.5310, 356, 525, 0, 0
15.5570, 356, 525, 0, 0
15.5830, 358, 527, 0, 0
15.6090, 357, 526, 0, 0
15.6350, 358, 525, 0, 0
15.6610, 359, 522, 0, 0
15.6870, 360, 521, 0, 0
15.7130, 360, 521, 0, 0
15.7380, 361, 520, 0, 0
15.7650, 362, 521, 0, 0
15.7910, 362, 521, 0, 0
15.8170, 362, 520, 0, 0
15.8430, 363, 521, 0, 0
15.8680, 363, 521, 0, 0
15.8950, 363, 520, 0, 0
15.9210, 363, 520, 0, 0
15.9470, 364, 520, 0, 0
15.9730, 364, 517, 0, 0
15.9990, 366, 516, 0, 0
16.0250, 366, 514, 0, 0
16.0510, 365, 517, 0, 0
16.0770, 366, 519, 0, 0
16.1030, 366, 518, 0, 0
16.1290, 364, 518, 0, 0
16.1550, 366, 518, 0, 0
16.1810, 366, 518, 0, 0
16.2070, 366, 518, 0, 0
16.2330, 365, 519, 0, 0
16.2590, 367, 520, 0, 0
16.2850, 366, 520, 0, 0
16.3110, 366, 520, 0, 0
16.3360, 365, 520, 0, 0
16.3630, 365, 521, 0, 0
16.3890, 364, 522, 0, 0
16.4150, 365, 523, 0, 0
16.4410, 363, 523, 0, 0
16.4660, 363, 524, 0, 0
16.4930, 364, 523, 0, 0
16.5190, 365, 524, 0, 0
16.5450, 364, 525, 0, 0
16.5710, 362, 525, 0, 0
16.5970, 363, 526, 0, 0
16.6230, 364, 526, 0, 0
16.6490, 366, 527, 0, 0
16.6750, 365, 526, 0, 0
16.7010, 364, 526, 0, 0
16.7270, 363, 527, 0, 0
16.7530, 361, 527, 0, 0
16.7790, 362, 528, 0, 0
16.8050, 361, 527, 0, 0
16.8310, 361, 528, 0, 0
16.8570, 360, 528, 0, 0
16.8830, 357, 527, 0, 0
16.9090, 356, 528, 0, 0
16.9340, 354, 529, 0, 0
16.9610, 354, 530, 0, 0
16.9870, 354, 530, 0, 0
17.0130, 354, 529, 0, 0
17.0390, 353, 529, 0, 0
17.0650, 352, 529, 0, 0
17.0910, 352, 529, 0, 0
17.1170, 353, 530, 0, 0
17.1430, 352, 529, 0, 0
17.1690, 352, 530, 0, 0
17.1950, 354, 530, 0, 0
17.2210, 354, 530, 0, 0
17.2470, 353, 530, 0, 0
17.2730, 351, 529, 0, 0
17.2990, 349, 529, 0, 0
17.3250, 348, 530, 0, 0
17.3510, 351, 532, 0, 0
17.3770, 350, 531, 0, 0
17.4020, 350, 531, 0, 0
17.4290, 350, 531, 0, 0
17.4550, 350, 530, 0, 0
17.4810, 351, 531, 0, 0
17.5070, 350, 530, 0, 0
17.5320, 353, 533, 0, 0
17.5590, 351, 530, 0, 0
17.5850, 351, 529, 0, 0
17.6110, 352, 528, 0, 0
17.6370, 353, 529, 0, 0
17.6630, 352, 527, 0, 0
17.6890, 351, 526, 0, 0
17.7150, 352, 529, 0, 0
17.7410, 351, 528, 0, 0
17.7670, 351, 528, 0, 0
17.7930, 352, 525, 0, 0
17.8190, 353, 524, 0, 0
17.8450, 353, 522, 0, 0
17.8710, 354, 522, 0, 0
17.8970, 355, 522, 0, 0
17.9230, 355, 520, 0, 0
17.9490, 358, 518, 0, 0
17.9750, 358, 519, 0, 0
18.0000, 358, 519, 0, 0
18.0270, 357, 519, 0, 0
18.0530, 357, 519, 0, 0
18.0790, 359, 519, 0, 0
18.1050, 360, 517, 0, 0
18.1300, 362, 516, 0, 0
18.1570, 363, 511, 0, 0
18.1830, 366, 509, 0, 0
18.2090, 366, 507, 0, 0
18.2350, 366, 505, 0, 0
18.2610, 367, 506, 0, 0
18.2870, 367, 505, 0, 0
18.3130, 368, 503, 0, 0
18.3390, 369, 500, 0, 0
18.3650, 370, 497, 0, 0
18.3910, 372, 493, 0, 0
18.4170, 372, 492, 0, 0
18.4430, 373, 493, 0, 0
18.4690, 372, 494, 0, 0
18.4950, 373, 498, 0, 0
18.5210, 374, 498, 0, 0
18.5470, 373, 500, 0, 0
18.5730, 372, 500, 0, 0
18.5980, 371, 501, 0, 0
18.6250, 371, 503, 0, 0
18.6510, 369, 505, 0, 0
18.6770, 370, 507, 0, 0
18.7030, 368, 509, 0, 0
18.7290, 365, 511, 0, 0
18.7550, 365, 512, 0, 0
18.7810, 365, 514, 0, 0
18.8070, 363, 514, 0, 0
18.8330, 362, 516, 0, 0
18.8590, 362, 517, 0, 0
18.8850, 362, 518, 0, 0
18.9110, 360, 518, 0, 0
18.9370, 359, 519, 0, 0
18.9630, 358, 521, 0, 0
18.9890, 357, 521, 0, 0
19.0150, 359, 523, 0, 0
19.0410, 358, 521, 0, 0
19.0660, 357, 521, 0, 0
19.0930, 357, 521, 0, 0
19.1190, 355, 522, 0, 0
19.1450, 355, 522, 0, 0
19.1710, 354, 522, 0, 0
19.1960, 353, 523, 0, 0
19.2230, 352, 522, 0, 0
19.2490, 348, 523, 0, 0
19.2750, 346, 525, 0, 0
19.3010, 344, 527, 0, 0
19.3270, 340, 529, 0, 0
19.3530, 339, 531, 0, 0
19.3790, 339, 532, 0, 0
19.4050, 338, 533, 0, 0
19.4310, 339, 534, 0, 0
19.4570, 337, 534, 0, 0
19.4830, 336, 535, 0, 0
19.5090, 336, 536, 0, 0
19.5350, 335, 537, 0, 0
19.5610, 334, 536, 0, 0
19.5870, 335, 537, 0, 0
19.6130, 337, 537, 0, 0
19.6390, 337, 537, 0, 0
19.6640, 336, 537, 0, 0
19.6910, 337, 537, 0, 0
19.7170, 336, 537, 0, 0
19.7430, 336, 537, 0, 0
19.7690, 337, 538, 0, 0
19.7940, 338, 538, 0, 0
19.8210, 338, 537, 0, 0
19.8470, 341, 538, 0, 0
19.8730, 340, 537, 0, 0
19.8990, 342, 535, 0, 0
19.9250, 343, 534, 0, 0
19.9510, 343, 534, 0, 0
19.9770, 344, 534, 0, 0
20.0030, 344, 533, 0, 0
20.0290, 345, 533, 0, 0
20.0550, 345, 530, 0, 0
20.0810, 349, 529, 0, 0
20.1070, 348, 528, 0, 0
20.1330, 349, 528, 0, 0
20.1590, 349, 527, 0, 0
20.1850, 350, 528, 0, 0
20.2110, 351, 528, 0, 0
20.2370, 351, 529, 0, 0
20.2620, 352, 530, 0, 0
20.2890, 351, 529, 0, 0
20.3150, 351, 529, 0, 0
20.3410, 352, 530, 0, 0
20.3670, 352, 530, 0, 0
20.3930, 351, 529, 0, 0
20.4190, 352, 529, 0, 0
20.4450, 353, 530, 0, 0
20.4710, 353, 529, 0, 0
20.4970, 355, 529, 0, 0
20.5230, 354, 529, 0, 0
20.5490, 356, 529, 0, 0
20.5750, 356, 528, 0, 0
20.6010, 355, 528, 0, 0
20.6270, 357, 524, 0, 0
20.6530, 360, 520, 0, 0
20.6790, 361, 519, 0, 0
20.7050, 362, 517, 0, 0
20.7300, 364, 518, 0, 0
